Report Date,Borough,Community District,Case Type,Cases,Individuals
11/30/2018,Queens,1,All Case Types,546,783
11/30/2018,Queens,2,All Case Types,253,333
11/30/2018,Queens,3,All Case Types,153,334
11/30/2018,Queens,4,All Case Types,118,231
11/30/2018,Queens,5,All Case Types,130,259
11/30/2018,Queens,6,All Case Types,25,38
11/30/2018,Queens,7,All Case Types,107,197
11/30/2018,Queens,8,All Case Types,142,254
11/30/2018,Queens,9,All Case Types,153,319
11/30/2018,Queens,10,All Case Types,155,293
11/30/2018,Queens,11,All Case Types,23,36
11/30/2018,Queens,12,All Case Types,874,1775
11/30/2018,Queens,13,All Case Types,340,655
11/30/2018,Queens,14,All Case Types,517,1087
11/30/2018,Queens,Unknown CD,All Case Types,1064,1894
11/30/2018,Staten Island,1,All Case Types,429,966
11/30/2018,Staten Island,2,All Case Types,44,69
11/30/2018,Staten Island,3,All Case Types,28,60
11/30/2018,Staten Island,Unknown CD,All Case Types,124,233
10/31/2018,Bronx,1,All Case Types,955,2163
10/31/2018,Bronx,2,All Case Types,466,1055
10/31/2018,Bronx,3,All Case Types,837,1922
10/31/2018,Bronx,4,All Case Types,1042,2456
10/31/2018,Bronx,5,All Case Types,972,2219
10/31/2018,Bronx,6,All Case Types,745,1774
10/31/2018,Bronx,7,All Case Types,661,1505
10/31/2018,Bronx,8,All Case Types,209,464
10/31/2018,Bronx,9,All Case Types,917,2064
10/31/2018,Bronx,10,All Case Types,242,520
10/31/2018,Bronx,11,All Case Types,366,780
10/31/2018,Bronx,12,All Case Types,833,1880
10/31/2018,Bronx,Unknown CD,All Case Types,1532,2818
10/31/2018,Brooklyn,1,All Case Types,234,459
10/31/2018,Brooklyn,2,All Case Types,238,406
10/31/2018,Brooklyn,3,All Case Types,983,1889
10/31/2018,Brooklyn,4,All Case Types,405,792
10/31/2018,Brooklyn,5,All Case Types,1296,2719
10/31/2018,Brooklyn,6,All Case Types,168,324
10/31/2018,Brooklyn,7,All Case Types,132,274
10/31/2018,Brooklyn,8,All Case Types,473,924
10/31/2018,Brooklyn,9,All Case Types,349,628
10/31/2018,Brooklyn,10,All Case Types,54,96
10/31/2018,Brooklyn,11,All Case Types,104,210
10/31/2018,Brooklyn,12,All Case Types,79,151
10/31/2018,Brooklyn,13,All Case Types,217,439
10/31/2018,Brooklyn,14,All Case Types,304,620
10/31/2018,Brooklyn,15,All Case Types,94,185
10/31/2018,Brooklyn,16,All Case Types,787,1760
10/31/2018,Brooklyn,17,All Case Types,671,1392
10/31/2018,Brooklyn,18,All Case Types,415,834
10/31/2018,Brooklyn,Unknown CD,All Case Types,1304,2210
10/31/2018,Manhattan,1,All Case Types,188,389
10/31/2018,Manhattan,2,All Case Types,27,38
10/31/2018,Manhattan,3,All Case Types,364,663
10/31/2018,Manhattan,4,All Case Types,190,275
10/31/2018,Manhattan,5,All Case Types,122,178
10/31/2018,Manhattan,6,All Case Types,113,144
10/31/2018,Manhattan,7,All Case Types,190,322
10/31/2018,Manhattan,8,All Case Types,76,99
10/31/2018,Manhattan,9,All Case Types,371,717
10/31/2018,Manhattan,10,All Case Types,813,1510
10/31/2018,Manhattan,11,All Case Types,783,1423
10/31/2018,Manhattan,12,All Case Types,433,865
10/31/2018,Manhattan,Unknown CD,All Case Types,1841,2663
10/31/2018,Queens,1,All Case Types,537,767
10/31/2018,Queens,2,All Case Types,244,319
10/31/2018,Queens,3,All Case Types,150,317
10/31/2018,Queens,4,All Case Types,116,229
10/31/2018,Queens,5,All Case Types,125,255
10/31/2018,Queens,6,All Case Types,29,44
10/31/2018,Queens,7,All Case Types,106,189
10/31/2018,Queens,8,All Case Types,139,239
10/31/2018,Queens,9,All Case Types,155,326
10/31/2018,Queens,10,All Case Types,154,281
10/31/2018,Queens,11,All Case Types,24,40
10/31/2018,Queens,12,All Case Types,888,1801
10/31/2018,Queens,13,All Case Types,332,635
10/31/2018,Queens,14,All Case Types,517,1085
10/31/2018,Queens,Unknown CD,All Case Types,1068,1920
10/31/2018,Staten Island,1,All Case Types,410,940
10/31/2018,Staten Island,2,All Case Types,47,69
10/31/2018,Staten Island,3,All Case Types,30,63
10/31/2018,Staten Island,Unknown CD,All Case Types,120,223
09/30/2018,Bronx,1,All Case Types,932,2105
09/30/2018,Bronx,2,All Case Types,464,1064
09/30/2018,Bronx,3,All Case Types,840,1928
09/30/2018,Bronx,4,All Case Types,1038,2456
09/30/2018,Bronx,5,All Case Types,956,2214
09/30/2018,Bronx,6,All Case Types,731,1727
09/30/2018,Bronx,7,All Case Types,690,1555
09/30/2018,Bronx,8,All Case Types,215,481
09/30/2018,Bronx,9,All Case Types,888,2000
09/30/2018,Bronx,10,All Case Types,232,493
09/30/2018,Bronx,11,All Case Types,356,749
09/30/2018,Bronx,12,All Case Types,814,1839
09/30/2018,Bronx,Unknown CD,All Case Types,1495,2741
09/30/2018,Brooklyn,1,All Case Types,248,469
09/30/2018,Brooklyn,2,All Case Types,243,414
09/30/2018,Brooklyn,3,All Case Types,957,1851
09/30/2018,Brooklyn,4,All Case Types,398,773
09/30/2018,Brooklyn,5,All Case Types,1295,2731
09/30/2018,Brooklyn,6,All Case Types,166,324
09/30/2018,Brooklyn,7,All Case Types,132,280
09/30/2018,Brooklyn,8,All Case Types,481,929
09/30/2018,Brooklyn,9,All Case Types,343,628
09/30/2018,Brooklyn,10,All Case Types,61,103
09/30/2018,Brooklyn,11,All Case Types,101,205
09/30/2018,Brooklyn,12,All Case Types,80,157
09/30/2018,Brooklyn,13,All Case Types,217,444
09/30/2018,Brooklyn,14,All Case Types,296,600
09/30/2018,Brooklyn,15,All Case Types,94,187
09/30/2018,Brooklyn,16,All Case Types,813,1787
09/30/2018,Brooklyn,17,All Case Types,669,1412
09/30/2018,Brooklyn,18,All Case Types,412,846
09/30/2018,Brooklyn,Unknown CD,All Case Types,1268,2165
09/30/2018,Manhattan,1,All Case Types,193,405
09/30/2018,Manhattan,2,All Case Types,30,37
09/30/2018,Manhattan,3,All Case Types,367,671
09/30/2018,Manhattan,4,All Case Types,192,278
09/30/2018,Manhattan,5,All Case Types,124,175
09/30/2018,Manhattan,6,All Case Types,110,138
09/30/2018,Manhattan,7,All Case Types,196,345
09/30/2018,Manhattan,8,All Case Types,82,106
09/30/2018,Manhattan,9,All Case Types,382,736
09/30/2018,Manhattan,10,All Case Types,813,1542
09/30/2018,Manhattan,11,All Case Types,776,1411
09/30/2018,Manhattan,12,All Case Types,438,882
09/30/2018,Manhattan,Unknown CD,All Case Types,1806,2604
09/30/2018,Queens,1,All Case Types,509,726
09/30/2018,Queens,2,All Case Types,234,300
09/30/2018,Queens,3,All Case Types,144,305
09/30/2018,Queens,4,All Case Types,130,257
09/30/2018,Queens,5,All Case Types,118,247
09/30/2018,Queens,6,All Case Types,22,33
09/30/2018,Queens,7,All Case Types,106,195
09/30/2018,Queens,8,All Case Types,127,226
09/30/2018,Queens,9,All Case Types,155,330
09/30/2018,Queens,10,All Case Types,143,260
09/30/2018,Queens,11,All Case Types,23,38
09/30/2018,Queens,12,All Case Types,868,1779
09/30/2018,Queens,13,All Case Types,322,615
09/30/2018,Queens,14,All Case Types,503,1091
09/30/2018,Queens,Unknown CD,All Case Types,1043,1908
09/30/2018,Staten Island,1,All Case Types,408,948
09/30/2018,Staten Island,2,All Case Types,50,79
09/30/2018,Staten Island,3,All Case Types,30,58
09/30/2018,Staten Island,Unknown CD,All Case Types,111,195
08/31/2018,Bronx,1,All Case Types,922,2083
08/31/2018,Bronx,2,All Case Types,463,1052
08/31/2018,Bronx,3,All Case Types,861,1973
08/31/2018,Bronx,4,All Case Types,1060,2517
08/31/2018,Bronx,5,All Case Types,964,2225
08/31/2018,Bronx,6,All Case Types,716,1707
08/31/2018,Bronx,7,All Case Types,692,1559
08/31/2018,Bronx,8,All Case Types,216,488
08/31/2018,Bronx,9,All Case Types,875,1966
08/31/2018,Bronx,10,All Case Types,224,470
08/31/2018,Bronx,11,All Case Types,374,792
08/31/2018,Bronx,12,All Case Types,810,1828
08/31/2018,Bronx,Unknown CD,All Case Types,1459,2660
08/31/2018,Brooklyn,1,All Case Types,240,460
08/31/2018,Brooklyn,2,All Case Types,232,399
08/31/2018,Brooklyn,3,All Case Types,953,1845
08/31/2018,Brooklyn,4,All Case Types,387,761
08/31/2018,Brooklyn,5,All Case Types,1243,2665
08/31/2018,Brooklyn,6,All Case Types,173,343
08/31/2018,Brooklyn,7,All Case Types,130,277
08/31/2018,Brooklyn,8,All Case Types,482,937
08/31/2018,Brooklyn,9,All Case Types,336,629
08/31/2018,Brooklyn,10,All Case Types,58,97
08/31/2018,Brooklyn,11,All Case Types,94,184
08/31/2018,Brooklyn,12,All Case Types,80,158
08/31/2018,Brooklyn,13,All Case Types,213,446
08/31/2018,Brooklyn,14,All Case Types,288,577
08/31/2018,Brooklyn,15,All Case Types,95,189
08/31/2018,Brooklyn,16,All Case Types,796,1749
08/31/2018,Brooklyn,17,All Case Types,652,1343
08/31/2018,Brooklyn,18,All Case Types,404,824
08/31/2018,Brooklyn,Unknown CD,All Case Types,1224,2087
08/31/2018,Manhattan,1,All Case Types,183,403
08/31/2018,Manhattan,2,All Case Types,27,34
08/31/2018,Manhattan,3,All Case Types,363,683
08/31/2018,Manhattan,4,All Case Types,199,287
08/31/2018,Manhattan,5,All Case Types,121,174
08/31/2018,Manhattan,6,All Case Types,102,131
08/31/2018,Manhattan,7,All Case Types,202,360
08/31/2018,Manhattan,8,All Case Types,78,102
08/31/2018,Manhattan,9,All Case Types,377,717
08/31/2018,Manhattan,10,All Case Types,800,1508
08/31/2018,Manhattan,11,All Case Types,765,1408
08/31/2018,Manhattan,12,All Case Types,433,885
08/31/2018,Manhattan,Unknown CD,All Case Types,1788,2579
08/31/2018,Queens,1,All Case Types,498,713
08/31/2018,Queens,2,All Case Types,231,300
08/31/2018,Queens,3,All Case Types,139,292
08/31/2018,Queens,4,All Case Types,131,259
08/31/2018,Queens,5,All Case Types,121,251
08/31/2018,Queens,6,All Case Types,24,35
08/31/2018,Queens,7,All Case Types,98,184
08/31/2018,Queens,8,All Case Types,136,247
08/31/2018,Queens,9,All Case Types,151,318
08/31/2018,Queens,10,All Case Types,147,263
08/31/2018,Queens,11,All Case Types,23,40
08/31/2018,Queens,12,All Case Types,832,1702
08/31/2018,Queens,13,All Case Types,310,596
08/31/2018,Queens,14,All Case Types,503,1051
08/31/2018,Queens,Unknown CD,All Case Types,1052,1929
08/31/2018,Staten Island,1,All Case Types,387,906
08/31/2018,Staten Island,2,All Case Types,50,82
08/31/2018,Staten Island,3,All Case Types,30,61
08/31/2018,Staten Island,Unknown CD,All Case Types,106,190
07/31/2018,Bronx,1,All Case Types,876,1971
07/31/2018,Bronx,2,All Case Types,400,904
07/31/2018,Bronx,3,All Case Types,821,1863
07/31/2018,Bronx,4,All Case Types,936,2189
07/31/2018,Bronx,5,All Case Types,869,1983
07/31/2018,Bronx,6,All Case Types,679,1587
07/31/2018,Bronx,7,All Case Types,651,1480
07/31/2018,Bronx,8,All Case Types,200,431
07/31/2018,Bronx,9,All Case Types,805,1802
07/31/2018,Bronx,10,All Case Types,215,443
07/31/2018,Bronx,11,All Case Types,354,730
07/31/2018,Bronx,12,All Case Types,775,1760
07/31/2018,Bronx,Unknown CD,All Case Types,1488,2769
07/31/2018,Brooklyn,1,All Case Types,237,460
07/31/2018,Brooklyn,2,All Case Types,241,418
07/31/2018,Brooklyn,3,All Case Types,937,1754
07/31/2018,Brooklyn,4,All Case Types,395,757
07/31/2018,Brooklyn,5,All Case Types,1211,2601
07/31/2018,Brooklyn,6,All Case Types,155,305
07/31/2018,Brooklyn,7,All Case Types,131,271
07/31/2018,Brooklyn,8,All Case Types,469,934
07/31/2018,Brooklyn,9,All Case Types,302,569
07/31/2018,Brooklyn,10,All Case Types,59,93
07/31/2018,Brooklyn,11,All Case Types,95,172
07/31/2018,Brooklyn,12,All Case Types,84,166
07/31/2018,Brooklyn,13,All Case Types,203,407
07/31/2018,Brooklyn,14,All Case Types,275,538
07/31/2018,Brooklyn,15,All Case Types,102,209
07/31/2018,Brooklyn,16,All Case Types,751,1642
07/31/2018,Brooklyn,17,All Case Types,592,1206
07/31/2018,Brooklyn,18,All Case Types,383,783
07/31/2018,Brooklyn,Unknown CD,All Case Types,1221,2024
07/31/2018,Manhattan,1,All Case Types,191,423
07/31/2018,Manhattan,2,All Case Types,29,39
07/31/2018,Manhattan,3,All Case Types,372,699
07/31/2018,Manhattan,4,All Case Types,199,294
07/31/2018,Manhattan,5,All Case Types,60,91
07/31/2018,Manhattan,6,All Case Types,97,128
07/31/2018,Manhattan,7,All Case Types,203,371
07/31/2018,Manhattan,8,All Case Types,68,92
07/31/2018,Manhattan,9,All Case Types,371,698
07/31/2018,Manhattan,10,All Case Types,780,1477
07/31/2018,Manhattan,11,All Case Types,767,1370
07/31/2018,Manhattan,12,All Case Types,433,882
07/31/2018,Manhattan,Unknown CD,All Case Types,1751,2502
07/31/2018,Queens,1,All Case Types,478,671
07/31/2018,Queens,2,All Case Types,217,280
07/31/2018,Queens,3,All Case Types,146,312
07/31/2018,Queens,4,All Case Types,135,273
07/31/2018,Queens,5,All Case Types,127,262
07/31/2018,Queens,6,All Case Types,27,40
07/31/2018,Queens,7,All Case Types,97,187
07/31/2018,Queens,8,All Case Types,138,242
07/31/2018,Queens,9,All Case Types,154,295
07/31/2018,Queens,10,All Case Types,134,232
07/31/2018,Queens,11,All Case Types,21,37
07/31/2018,Queens,12,All Case Types,804,1624
07/31/2018,Queens,13,All Case Types,307,587
07/31/2018,Queens,14,All Case Types,467,976
07/31/2018,Queens,Unknown CD,All Case Types,1047,1942
07/31/2018,Staten Island,1,All Case Types,376,880
07/31/2018,Staten Island,2,All Case Types,56,94
07/31/2018,Staten Island,3,All Case Types,32,67
07/31/2018,Staten Island,Unknown CD,All Case Types,104,186
06/30/2018,Bronx,1,All Case Types,876,1991
06/30/2018,Bronx,2,All Case Types,396,906
06/30/2018,Bronx,3,All Case Types,816,1877
06/30/2018,Bronx,4,All Case Types,940,2228
06/30/2018,Bronx,5,All Case Types,921,2085
06/30/2018,Bronx,6,All Case Types,696,1666
06/30/2018,Bronx,7,All Case Types,665,1477
06/30/2018,Bronx,8,All Case Types,188,408
06/30/2018,Bronx,9,All Case Types,811,1821
06/30/2018,Bronx,10,All Case Types,217,447
06/30/2018,Bronx,11,All Case Types,374,792
06/30/2018,Bronx,12,All Case Types,766,1751
06/30/2018,Bronx,Unknown CD,All Case Types,1547,2923
06/30/2018,Brooklyn,1,All Case Types,257,513
06/30/2018,Brooklyn,2,All Case Types,248,435
06/30/2018,Brooklyn,3,All Case Types,944,1817
06/30/2018,Brooklyn,4,All Case Types,409,830
06/30/2018,Brooklyn,5,All Case Types,1180,2545
06/30/2018,Brooklyn,6,All Case Types,156,298
06/30/2018,Brooklyn,7,All Case Types,126,260
06/30/2018,Brooklyn,8,All Case Types,470,948
06/30/2018,Brooklyn,9,All Case Types,301,582
06/30/2018,Brooklyn,10,All Case Types,59,93
06/30/2018,Brooklyn,11,All Case Types,96,174
06/30/2018,Brooklyn,12,All Case Types,89,166
06/30/2018,Brooklyn,13,All Case Types,210,423
06/30/2018,Brooklyn,14,All Case Types,285,560
06/30/2018,Brooklyn,15,All Case Types,96,200
06/30/2018,Brooklyn,16,All Case Types,749,1620
06/30/2018,Brooklyn,17,All Case Types,594,1213
06/30/2018,Brooklyn,18,All Case Types,400,823
06/30/2018,Brooklyn,Unknown CD,All Case Types,1232,2037
06/30/2018,Manhattan,1,All Case Types,187,408
06/30/2018,Manhattan,2,All Case Types,29,43
06/30/2018,Manhattan,3,All Case Types,363,677
06/30/2018,Manhattan,4,All Case Types,200,292
06/30/2018,Manhattan,5,All Case Types,126,196
06/30/2018,Manhattan,6,All Case Types,107,137
06/30/2018,Manhattan,7,All Case Types,219,405
06/30/2018,Manhattan,8,All Case Types,71,97
06/30/2018,Manhattan,9,All Case Types,383,727
06/30/2018,Manhattan,10,All Case Types,796,1535
06/30/2018,Manhattan,11,All Case Types,744,1357
06/30/2018,Manhattan,12,All Case Types,422,871
06/30/2018,Manhattan,Unknown CD,All Case Types,1747,2537
06/30/2018,Queens,1,All Case Types,482,671
06/30/2018,Queens,2,All Case Types,223,282
06/30/2018,Queens,3,All Case Types,143,291
06/30/2018,Queens,4,All Case Types,136,276
06/30/2018,Queens,5,All Case Types,131,287
06/30/2018,Queens,6,All Case Types,26,43
06/30/2018,Queens,7,All Case Types,97,178
06/30/2018,Queens,8,All Case Types,143,258
06/30/2018,Queens,9,All Case Types,151,288
06/30/2018,Queens,10,All Case Types,119,205
06/30/2018,Queens,11,All Case Types,20,34
06/30/2018,Queens,12,All Case Types,790,1606
06/30/2018,Queens,13,All Case Types,308,588
06/30/2018,Queens,14,All Case Types,464,978
06/30/2018,Queens,Unknown CD,All Case Types,1088,2083
06/30/2018,Staten Island,1,All Case Types,391,890
06/30/2018,Staten Island,2,All Case Types,46,80
06/30/2018,Staten Island,3,All Case Types,31,60
06/30/2018,Staten Island,Unknown CD,All Case Types,105,197
05/31/2018,Bronx,1,All Case Types,881,2021
05/31/2018,Bronx,2,All Case Types,401,918
05/31/2018,Bronx,3,All Case Types,811,1881
05/31/2018,Bronx,4,All Case Types,952,2254
05/31/2018,Bronx,5,All Case Types,917,2085
05/31/2018,Bronx,6,All Case Types,708,1710
05/31/2018,Bronx,7,All Case Types,677,1502
05/31/2018,Bronx,8,All Case Types,182,389
05/31/2018,Bronx,9,All Case Types,823,1861
05/31/2018,Bronx,10,All Case Types,207,439
05/31/2018,Bronx,11,All Case Types,376,810
05/31/2018,Bronx,12,All Case Types,749,1721
05/31/2018,Bronx,Unknown CD,All Case Types,1591,3064
05/31/2018,Brooklyn,1,All Case Types,249,495
05/31/2018,Brooklyn,2,All Case Types,266,471
05/31/2018,Brooklyn,3,All Case Types,976,1855
05/31/2018,Brooklyn,4,All Case Types,422,873
05/31/2018,Brooklyn,5,All Case Types,1186,2563
05/31/2018,Brooklyn,6,All Case Types,154,289
05/31/2018,Brooklyn,7,All Case Types,132,267
05/31/2018,Brooklyn,8,All Case Types,469,943
05/31/2018,Brooklyn,9,All Case Types,301,583
05/31/2018,Brooklyn,10,All Case Types,61,101
05/31/2018,Brooklyn,11,All Case Types,97,178
05/31/2018,Brooklyn,12,All Case Types,88,161
05/31/2018,Brooklyn,13,All Case Types,216,445
05/31/2018,Brooklyn,14,All Case Types,292,583
05/31/2018,Brooklyn,15,All Case Types,102,223
05/31/2018,Brooklyn,16,All Case Types,768,1628
05/31/2018,Brooklyn,17,All Case Types,613,1261
05/31/2018,Brooklyn,18,All Case Types,399,811
05/31/2018,Brooklyn,Unknown CD,All Case Types,1260,2097
05/31/2018,Manhattan,1,All Case Types,181,388
05/31/2018,Manhattan,2,All Case Types,31,40
05/31/2018,Manhattan,3,All Case Types,362,673
05/31/2018,Manhattan,4,All Case Types,206,301
05/31/2018,Manhattan,5,All Case Types,128,201
05/31/2018,Manhattan,6,All Case Types,107,137
05/31/2018,Manhattan,7,All Case Types,214,390
05/31/2018,Manhattan,8,All Case Types,69,93
05/31/2018,Manhattan,9,All Case Types,391,746
05/31/2018,Manhattan,10,All Case Types,808,1574
05/31/2018,Manhattan,11,All Case Types,777,1431
05/31/2018,Manhattan,12,All Case Types,421,857
05/31/2018,Manhattan,Unknown CD,All Case Types,1795,2592
05/31/2018,Queens,1,All Case Types,487,687
05/31/2018,Queens,2,All Case Types,218,274
05/31/2018,Queens,3,All Case Types,141,299
05/31/2018,Queens,4,All Case Types,129,256
05/31/2018,Queens,5,All Case Types,135,287
05/31/2018,Queens,6,All Case Types,29,45
05/31/2018,Queens,7,All Case Types,103,189
05/31/2018,Queens,8,All Case Types,129,225
05/31/2018,Queens,9,All Case Types,149,288
05/31/2018,Queens,10,All Case Types,119,216
05/31/2018,Queens,11,All Case Types,20,35
05/31/2018,Queens,12,All Case Types,813,1628
05/31/2018,Queens,13,All Case Types,313,597
05/31/2018,Queens,14,All Case Types,474,1008
05/31/2018,Queens,Unknown CD,All Case Types,1089,2087
05/31/2018,Staten Island,1,All Case Types,392,917
05/31/2018,Staten Island,2,All Case Types,49,88
05/31/2018,Staten Island,3,All Case Types,31,52
05/31/2018,Staten Island,Unknown CD,All Case Types,118,241
04/30/2018,Bronx,1,All Case Types,876,2033
04/30/2018,Bronx,2,All Case Types,407,938
04/30/2018,Bronx,3,All Case Types,825,1914
04/30/2018,Bronx,4,All Case Types,954,2267
04/30/2018,Bronx,5,All Case Types,929,2124
04/30/2018,Bronx,6,All Case Types,724,1759
04/30/2018,Bronx,7,All Case Types,699,1562
04/30/2018,Bronx,8,All Case Types,176,386
04/30/2018,Bronx,9,All Case Types,829,1882
04/30/2018,Bronx,10,All Case Types,218,459
04/30/2018,Bronx,11,All Case Types,379,815
04/30/2018,Bronx,12,All Case Types,756,1747
04/30/2018,Brooklyn,1,All Case Types,252,508
04/30/2018,Brooklyn,2,All Case Types,278,508
04/30/2018,Brooklyn,3,All Case Types,984,1909
04/30/2018,Brooklyn,4,All Case Types,417,873
04/30/2018,Brooklyn,5,All Case Types,1196,2587
04/30/2018,Brooklyn,6,All Case Types,155,298
04/30/2018,Brooklyn,7,All Case Types,138,282
04/30/2018,Brooklyn,8,All Case Types,476,960
04/30/2018,Brooklyn,9,All Case Types,301,579
04/30/2018,Brooklyn,10,All Case Types,62,102
04/30/2018,Brooklyn,11,All Case Types,93,171
04/30/2018,Brooklyn,12,All Case Types,92,160
04/30/2018,Brooklyn,13,All Case Types,219,460
04/30/2018,Brooklyn,14,All Case Types,305,591
04/30/2018,Brooklyn,15,All Case Types,106,232
04/30/2018,Brooklyn,16,All Case Types,766,1632
04/30/2018,Brooklyn,17,All Case Types,645,1320
04/30/2018,Brooklyn,18,All Case Types,409,827
04/30/2018,Brooklyn,Unknown CD,All Case Types,1589,3088
04/30/2018,Manhattan,1,All Case Types,198,421
04/30/2018,Manhattan,2,All Case Types,31,39
04/30/2018,Manhattan,3,All Case Types,364,681
04/30/2018,Manhattan,4,All Case Types,206,306
04/30/2018,Manhattan,5,All Case Types,116,169
04/30/2018,Manhattan,6,All Case Types,106,138
04/30/2018,Manhattan,7,All Case Types,229,421
04/30/2018,Manhattan,8,All Case Types,75,103
04/30/2018,Manhattan,9,All Case Types,392,746
04/30/2018,Manhattan,10,All Case Types,815,1577
04/30/2018,Manhattan,11,All Case Types,794,1481
04/30/2018,Manhattan,12,All Case Types,424,879
04/30/2018,Manhattan,Unknown CD,All Case Types,1819,2620
04/30/2018,Queens,1,All Case Types,477,679
04/30/2018,Queens,2,All Case Types,212,274
04/30/2018,Queens,3,All Case Types,148,309
04/30/2018,Queens,4,All Case Types,128,251
04/30/2018,Queens,5,All Case Types,140,294
04/30/2018,Queens,6,All Case Types,31,43
04/30/2018,Queens,7,All Case Types,92,173
04/30/2018,Queens,8,All Case Types,132,232
04/30/2018,Queens,9,All Case Types,142,280
04/30/2018,Queens,10,All Case Types,125,231
04/30/2018,Queens,11,All Case Types,17,23
04/30/2018,Queens,12,All Case Types,806,1628
04/30/2018,Queens,13,All Case Types,311,589
04/30/2018,Queens,14,All Case Types,474,1002
04/30/2018,Queens,Unknown CD,All Case Types,1115,2134
04/30/2018,Staten Island,1,All Case Types,395,942
04/30/2018,Staten Island,2,All Case Types,54,101
04/30/2018,Staten Island,3,All Case Types,30,49
04/30/2018,Staten Island,Unknown CD,All Case Types,129,268
03/31/2018,Bronx,1,All Case Types,877,2034
03/31/2018,Bronx,2,All Case Types,419,978
03/31/2018,Bronx,3,All Case Types,830,1969
03/31/2018,Bronx,4,All Case Types,960,2273
03/31/2018,Bronx,5,All Case Types,944,2199
03/31/2018,Bronx,6,All Case Types,704,1696
03/31/2018,Bronx,7,All Case Types,682,1515
03/31/2018,Bronx,8,All Case Types,174,385
03/31/2018,Bronx,9,All Case Types,833,1907
03/31/2018,Bronx,10,All Case Types,219,474
03/31/2018,Bronx,11,All Case Types,355,770
03/31/2018,Bronx,12,All Case Types,774,1785
03/31/2018,Bronx,Unknown CD,All Case Types,1610,3113
03/31/2018,Brooklyn,1,All Case Types,259,522
03/31/2018,Brooklyn,2,All Case Types,281,508
03/31/2018,Brooklyn,3,All Case Types,1010,2000
03/31/2018,Brooklyn,4,All Case Types,417,875
03/31/2018,Brooklyn,5,All Case Types,1202,2626
03/31/2018,Brooklyn,6,All Case Types,165,317
03/31/2018,Brooklyn,7,All Case Types,132,271
03/31/2018,Brooklyn,8,All Case Types,464,947
03/31/2018,Brooklyn,9,All Case Types,309,609
03/31/2018,Brooklyn,10,All Case Types,59,102
03/31/2018,Brooklyn,11,All Case Types,96,172
03/31/2018,Brooklyn,12,All Case Types,85,147
03/31/2018,Brooklyn,13,All Case Types,221,472
03/31/2018,Brooklyn,14,All Case Types,299,587
03/31/2018,Brooklyn,15,All Case Types,115,244
03/31/2018,Brooklyn,16,All Case Types,797,1693
03/31/2018,Brooklyn,17,All Case Types,638,1317
03/31/2018,Brooklyn,18,All Case Types,413,826
03/31/2018,Brooklyn,Unknown CD,All Case Types,1210,2013
03/31/2018,Manhattan,1,All Case Types,187,415
03/31/2018,Manhattan,2,All Case Types,30,37
03/31/2018,Manhattan,3,All Case Types,355,670
03/31/2018,Manhattan,4,All Case Types,205,318
03/31/2018,Manhattan,5,All Case Types,151,216
03/31/2018,Manhattan,6,All Case Types,102,136
03/31/2018,Manhattan,7,All Case Types,228,418
03/31/2018,Manhattan,8,All Case Types,76,106
03/31/2018,Manhattan,9,All Case Types,390,744
03/31/2018,Manhattan,10,All Case Types,794,1546
03/31/2018,Manhattan,11,All Case Types,776,1457
03/31/2018,Manhattan,12,All Case Types,430,878
03/31/2018,Manhattan,Unknown CD,All Case Types,1809,2624
03/31/2018,Queens,1,All Case Types,452,655
03/31/2018,Queens,2,All Case Types,204,269
03/31/2018,Queens,3,All Case Types,142,296
03/31/2018,Queens,4,All Case Types,132,261
03/31/2018,Queens,5,All Case Types,132,298
03/31/2018,Queens,6,All Case Types,27,38
03/31/2018,Queens,7,All Case Types,94,172
03/31/2018,Queens,8,All Case Types,138,240
03/31/2018,Queens,9,All Case Types,142,272
03/31/2018,Queens,10,All Case Types,122,228
03/31/2018,Queens,11,All Case Types,16,24
03/31/2018,Queens,12,All Case Types,813,1636
03/31/2018,Queens,13,All Case Types,305,570
03/31/2018,Queens,14,All Case Types,475,999
03/31/2018,Queens,Unknown CD,All Case Types,1134,2176
03/31/2018,Staten Island,1,All Case Types,386,909
03/31/2018,Staten Island,2,All Case Types,47,85
03/31/2018,Staten Island,3,All Case Types,31,57
03/31/2018,Staten Island,Unknown CD,All Case Types,133,277
02/28/2018,Bronx,1,All Case Types,875,2043
02/28/2018,Bronx,2,All Case Types,421,1004
02/28/2018,Bronx,3,All Case Types,829,1952
02/28/2018,Bronx,4,All Case Types,960,2257
02/28/2018,Bronx,5,All Case Types,935,2187
02/28/2018,Bronx,6,All Case Types,709,1706
02/28/2018,Bronx,7,All Case Types,684,1523
02/28/2018,Bronx,8,All Case Types,172,371
02/28/2018,Bronx,9,All Case Types,831,1924
02/28/2018,Bronx,10,All Case Types,220,479
02/28/2018,Bronx,11,All Case Types,361,782
02/28/2018,Bronx,12,All Case Types,773,1795
02/28/2018,Bronx,Unknown CD,All Case Types,1663,3245
02/28/2018,Brooklyn,1,All Case Types,260,509
02/28/2018,Brooklyn,2,All Case Types,270,490
02/28/2018,Brooklyn,3,All Case Types,1002,2007
02/28/2018,Brooklyn,4,All Case Types,408,862
02/28/2018,Brooklyn,5,All Case Types,1228,2657
02/28/2018,Brooklyn,6,All Case Types,166,343
02/28/2018,Brooklyn,7,All Case Types,134,276
